Calls for Service and Prevention,Crime and NonCrime Demand,Alert Level,District,Area,No
Demand,Crime,2,Northland,Whangarei Area,50
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,9
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,6
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,3
Demand,Crime,2,Northland,Far North Area,12
Demand,Crime,2,Northland,Far North Area,5
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,3
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,4
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,20
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,6
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,5
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,3
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,19
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,4
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,6
Demand,Crime,2,Northland,Far North Area,14
Demand,Crime,2,Northland,Far North Area,6
Demand,Crime,2,Northland,Far North Area,4
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,4
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,7
Demand,Crime,2,Northland,Whangarei Area,7
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,29
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,7
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,5
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Far North Area,2
Demand,Crime,2,Northland,Far North Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,3
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,10
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,1
Demand,Crime,2,Northland,Whangarei Area,2
Demand,Crime,2,Northland,Whangarei Area,10
Demand,Crime,2,Not Specified (District),Not Specified (Area),1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,5
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,4
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,6
Demand,Crime,2,Southern,Otago Coastal Area,16
Demand,Crime,2,Southern,Otago Coastal Area,12
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,8
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,6
Demand,Crime,2,Southern,Otago Coastal Area,8
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,7
Demand,Crime,2,Southern,Otago Lakes Central Area,4
Demand,Crime,2,Southern,Otago Lakes Central Area,13
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,4
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,4
Demand,Crime,2,Southern,Southland Area,30
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,5
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,4
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,4
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,4
Demand,Crime,2,Southern,Otago Coastal Area,5
Demand,Crime,2,Southern,Otago Coastal Area,7
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,10
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,8
Demand,Crime,2,Southern,Otago Coastal Area,5
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,4
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,7
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,8
Demand,Crime,2,Southern,Otago Coastal Area,8
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,4
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,8
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,3
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,11
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,3
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,3
Demand,Crime,2,Southern,Otago Lakes Central Area,6
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,3
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,8
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,18
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,12
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,10
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,3
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,32
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Otago Coastal Area,6
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,2
Demand,Crime,2,Southern,Otago Lakes Central Area,2
Demand,Crime,2,Southern,Southland Area,4
Demand,Crime,2,Southern,Southland Area,11
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,6
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,24
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,5
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,10
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,5
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,24
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,8
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,6
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,2
Demand,Crime,2,Southern,Otago Lakes Central Area,2
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,5
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,21
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,4
Demand,Crime,2,Southern,Otago Coastal Area,11
Demand,Crime,2,Southern,Otago Coastal Area,8
Demand,Crime,2,Southern,Otago Coastal Area,11
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,21
Demand,Crime,2,Southern,Otago Coastal Area,3
Demand,Crime,2,Southern,Otago Coastal Area,6
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,2
Demand,Crime,2,Southern,Otago Lakes Central Area,4
Demand,Crime,2,Southern,Otago Lakes Central Area,3
Demand,Crime,2,Southern,Otago Lakes Central Area,6
Demand,Crime,2,Southern,Otago Lakes Central Area,2
Demand,Crime,2,Southern,Southland Area,3
Demand,Crime,2,Southern,Southland Area,3
Demand,Crime,2,Southern,Southland Area,28
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,2
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,5
Demand,Crime,2,Southern,Otago Coastal Area,7
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,4
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,5
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Coastal Area,7
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,4
Demand,Crime,2,Southern,Otago Coastal Area,2
Demand,Crime,2,Southern,Otago Coastal Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,2
Demand,Crime,2,Southern,Otago Lakes Central Area,3
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,1
Demand,Crime,2,Southern,Otago Lakes Central Area,3
Demand,Crime,2,Southern,Otago Lakes Central Area,2
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,3
Demand,Crime,2,Southern,Southland Area,8
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,7
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Southern,Southland Area,1
Demand,Crime,2,Tasman,Marlborough Area,1
Demand,Crime,2,Tasman,Nelson Bays Area,1
Demand,Crime,2,Tasman,Nelson Bays Area,3
Demand,Crime,2,Tasman,Nelson Bays Area,1
Demand,Crime,2,Tasman,Nelson Bays Area,4
Demand,Crime,2,Tasman,West Coast Area,1
Demand,Crime,2,Tasman,West Coast Area,1
Demand,Crime,2,Tasman,West Coast Area,1
Demand,Crime,2,Tasman,Marlborough Area,1
Demand,Crime,2,Tasman,Marlborough Area,12
Demand,Crime,2,Tasman,Nelson Bays Area,2
Demand,Crime,2,Tasman,Nelson Bays Area,3
Demand,Crime,2,Tasman,Nelson Bays Area,29
Demand,Crime,2,Tasman,Nelson Bays Area,10
Demand,Crime,2,Tasman,Nelson Bays Area,1
Demand,Crime,2,Tasman,West Coast Area,1
Demand,Crime,2,Tasman,West Coast Area,3
Demand,Crime,2,Tasman,West Coast Area,1
Demand,Crime,2,Tasman,West Coast Area,8
Demand,Crime,2,Tasman,Marlborough Area,1
Demand,Crime,2,Tasman,Marlborough Area,2
Demand,Crime,2,Tasman,Marlborough Area,2
Demand,Crime,2,Tasman,Marlborough Area,3
Demand,Crime,2,Tasman,Marlborough Area,4
Demand,Crime,2,Tasman,Marlborough Area,2
Demand,Crime,2,Tasman,Marlborough Area,1
Demand,Crime,2,Tasman,Marlborough Area,8
Demand,Crime,2,Tasman,Marlborough Area,2
Demand,Crime,2,Tasman,Marlborough Area,2
Demand,Crime,2,Tasman,Marlborough Area,4
Demand,Crime,2,Tasman,Marlborough Area,20
Demand,Crime,2,Tasman,Marlborough Area,2
Demand,Crime,2,Tasman,Marlborough Area,2
Demand,Crime,2,Tasman,Marlborough Area,3
Demand,Crime,2,Tasman,Marlborough Area,16
Demand,Crime,2,Tasman,Marlborough Area,4
Demand,Crime,2,Tasman,Marlborough Area,4
Demand,Crime,2,Tasman,Marlborough Area,1
Demand,Crime,2,Tasman,Nelson Bays Area,2
Demand,Crime,2,Tasman,Nelson Bays Area,2
Demand,Crime,2,Tasman,Nelson Bays Area,2
Demand,Crime,2,Tasman,Nelson Bays Area,1
